parent,H3K36me3_4h_ab_R1-foldchange,H3K36me3_4h_ab_R2-foldchange,H3K36me3_4h_ab_R3-foldchange,H3K4me2_4h_ab_R1-foldchange,H3K4me2_4h_ab_R2-foldchange,H3K4me2_4h_ab_R3-foldchange,H3K36me3_mean_fold_change,H3K36me3_stdev,H3K4me2_4h_ab_mean_fold_change,H3K4me2_4h_ab_stdev
YGR264C,4.3805194818725575,7.224510758757771,2.833786465995947,1.2069528725059426,1.1718095492294252,0.993924170292614,4.812938902208758,1.8183976224641898,1.1242288640093272,0.09324965843077493
YGR266W,1.1194435170119974,2.5259716499474245,1.467812470226365,1.4838297195425052,1.2919193338228812,1.7091916936312344,1.7044092123952623,0.5980879873889272,1.4949802489988737,0.1705330980491782
YGR281W,3.025365226144017,1.7652950965461764,2.4549269602072585,1.2239092901317878,1.2095589742720878,0.9043420153940912,2.4151957609658172,0.515188062116513,1.1126034265993223,0.14737954276677173
YHR006W,1.9716880387909368,3.733986681998332,3.5512836136710635,2.9499429699593414,1.2282369217794245,2.991896369542246,3.085652778153444,0.7912155977571406,2.3900254204270035,0.8216870485476767
YHR013C,2.3381631114842314,1.5497545790407086,2.990849366756532,1.4911801517313024,1.0028513251619766,1.1082086847585448,2.292922352427157,0.5891935683658208,1.200746720550608,0.20982330147981423
YHR071W,0.6322287363661221,1.5744875208840583,0.5800044752093391,1.837733027107509,1.1097872107598121,1.13158301088161,0.9289069108198399,0.4569920396327193,1.3597010829163105,0.338136726760197
YIL144W,3.345582678664469,8.242369398312286,4.8144518862276335,1.1081167225874005,1.3851530129950234,2.1901577362250104,5.467467987734796,2.0517395166135683,1.561142490602478,0.4589352975237978
YIL031W,5.20957479587508,8.946986858148088,6.551913913698342,2.6935150619459964,2.799752227304171,1.9460852722604105,6.902825189240503,1.5458366177753962,2.4797841871701927,0.3798661892980599
YJL196C,1.1492368097722538,2.5221398480472415,3.687276962954725,1.6208457777069012,1.715031214237905,1.5599050532502732,2.4528845402580735,1.0373071477096694,1.6319273483983598,0.0638129159467084
YJL084C,3.1267323478037325,5.177547019930626,11.147453820727526,1.9499817517948053,1.0364092068412842,0.8693013561836054,6.483911062820628,3.402247639034343,1.285230771606565,0.4749748468314064
YJL083W,1.6324541383380455,2.636888971639922,0.893627029207126,1.5114418878934315,1.278296729547324,1.5117145691126572,1.7209900463950312,0.7144319446223215,1.4338177288511373,0.10997000956959256
YJL003W,1.7699650134064933,1.5665321742921883,0.8262484290931269,2.043125441975161,1.6794187674793406,1.6596725404378558,1.387581872263936,0.4055183151014052,1.7940722499641193,0.17629161014024497
YJR077C,1.0007068514214488,1.3310817248332938,0.8386003070904626,1.5665629813783057,1.1353538849450406,0.953800182338294,1.0567962944484017,0.2049292657151122,1.21857234955388,0.2569870899620277
